Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 17S040000; 40W570000;; Cachoeira Paulista;549250,0000; SP; 323697178;;27;6000;ISDB-T;TV Digital;;802;
 AMAZONIA CABO LTDA; 02311604000184; AVENIDA ANDRE ARAUJO, 1555; 10S421600; 62W144500;; Manaus;483250,0000; AM; 323724108;;16;6000;ISDB-T;TV Digital;;802;
 TV PANTANAL LTDA; 26773036000100; RUA SEBASTIAO RIBEIRO,S/N, .; 16S041400; 57W404400;; Cáceres;193250,0000; MT; 323139396;;10;6000;ISDB-T;TV Digital;;802;
 FUNDACAO DE TELECOMUNICACOES DO PARA; 05441704000113; AVENIDA ALMIRANTE BARROSO 735, .; 01S203600; 47W345000;; Belém;77250,0000; PA; 322802172;;5;6000;PAL-M;TV Analógica;;800;
 RADIO NOVO MILENIO LTDA; 04461207000114; RUA DIREITA, 32; 22S550000; 43W130000;; São Paulo;6030,0000; SP; 517520818;;;10;AM;Rádio;;213;
 PREFEITURA MUNICIPAL DE RIO NEGRO; 76002641000147; PRACA JOAO PESSOA, 08, .; 26S054700; 49W473600;; Rio Negro;489250,0000; PR; 322551498;;17;6000;ISDB-T;TV Digital;;802;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 07S072900; 34W501200;; Cachoeira Paulista;711250,0000; SP; 323734871;;54;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE FIRMINOPOLIS; 02321917000113; AVENIDA GOIANIA NR 322, .; 16S350000; 50W190000;; Firminópolis;549250,0000; GO; 323038263;;27;6000;ISDB-T;TV Digital;;802;
 RADIOMAR RADIO E TV DO MARANHAO LTDA; 11114087000144; AV.JOSE SARNEY,20 SALA B, .; 07S320000; 46W020000;; Balsas;; MA; 674646797;;;6000;PAL-M;TV Analógica;;800;
 FUNDACAO EVANGELICA BOAS NOVAS; 84541689000151; AVENIDA RODRIGO OTAVIO, 1655; 20S291900; 54W354900;; Manaus;603250,0000; AM; 323670407;;36;6000;ISDB-T;TV Digital;;802;
 TV ALIANCA PAULISTA S/A; 58833997000140; AVENIDA ENGENHEIRO CARLOS REINALDO MENDES, 2700; 23S113700; 48W081400; TV TEM; Sorocaba;525250,0000; SP; 323691811;;23;6000;ISDB-T;TV Digital;;802;
 DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS; 17327289000150;  Cidade Administrativa Presidente Tancredo Neves - Rodovia Prefeito Americo Gianetti, s/nº; 22S120000; 45W450000;; Belo Horizonte;597250,0000; MG; 322377692;;35;6000;ISDB-T;TV Digital;;802;
 SISTEMA TUCANU'S DE RADIO E TELEVISAO LTDA; 41376476000109; RUA LUIZ DOMINGUES NR 846, .; 05S320000; 47W290000;; Imperatriz;77250,0000; MA; 323223397;;5;6000;ISDB-T;TV Digital;;802;
 ALAGAMAR RADIO SOCIEDADE LTDA; 08690604000119; RUA MARTINS FERREIRA, 138; 05S070100; 36W373100; RADIO SALINAS; Macau;1520,0000; RN; 323233104;;;10;AM;Rádio;;205;
